icao24,callsign,country,timePosition,lastContact,longitude,latitude,baroAltitude,onGround,velocity,heading,verticalRate,_,geoAltitude,transponderCode,spi,positionSource
"151e0f","PBD111  ","Russian Federation",1682183915,1682183916,48.5584,44.5842,10972.8,false,219.17,180.67,0.33,null,10919.46,null,false,0
"a891b8","N651PB  ","United States",1682183916,1682183916,-81.4833,30.177,6096,false,124.7,351.94,0,null,6271.26,null,false,0
"440141","EJU43NJ ","Austria",1682183916,1682183916,0.2472,51.6772,8549.64,false,183.76,271.93,0,null,8435.34,"7335",false,0
"a70a5d","N5528V  ","United States",1682183915,1682183916,-91.672,30.4123,2735.58,false,92.09,83.91,0,null,2781.3,null,false,0
"a0a610","N1407U  ","United States",1682183904,1682183904,-122.0543,37.99,null,true,5.14,22.5,null,null,null,null,false,0
"a82a44","QXE2030 ","United States",1682183916,1682183916,-122.7388,38.3276,6964.68,false,207.07,192.48,-10.73,null,7162.8,"6644",false,0
"a95125","N7PD    ","United States",1682183916,1682183916,-86.341,34.2242,1645.92,false,100.95,166.74,0,null,1653.54,null,false,0
"a09cad","AAL1947 ","United States",1682183916,1682183916,-97.0319,32.8981,null,true,7.2,180,null,null,null,null,false,0
"151e26","TYA102  ","Russian Federation",1682183154,1682183911,37.5945,56.8209,7795.26,false,220.48,194.46,-5.2,null,7749.54,null,false,0
"a0563b","DAL175  ","United States",1682183916,1682183916,-69.5035,42.829,10980.42,false,220.62,247.08,0.33,null,11163.3,null,false,0
"a5ca4b","UAL1693 ","United States",1682183915,1682183916,-88.0743,42.1415,2971.8,false,149.67,108.43,-7.48,null,2819.4,"6642",false,0
"4844a3","GXA3373 ","Kingdom of the Netherlands",1682183916,1682183916,-82.5575,27.7329,2712.72,false,145.17,156.61,12.03,null,2766.06,null,false,0
"a28f12","ENY3846 ","United States",1682183916,1682183916,-82.3264,30.2199,2758.44,false,146.71,174.77,-0.65,null,2811.78,null,false,0
"a0696e","N12559  ","United States",1682183916,1682183916,-70.8349,42.9307,289.56,false,43.3,193.05,0.33,null,312.42,null,false,0
"a0430c","N116FT  ","United States",1682183632,1682183632,-89.0167,42.6012,403.86,false,54.26,312.31,-2.93,null,350.52,"4330",false,0
"ac7040","N900MA  ","United States",1682183916,1682183916,-117.5011,34.1109,2202.18,false,87.61,262.92,-2.93,null,2247.9,null,false,0
"86d9da","JAL68   ","Japan",1682183916,1682183916,-126.0866,48.4726,12496.8,false,265.99,99.46,0,null,12496.8,null,false,0
"45cab5","AFR36HN ","Denmark",1682183916,1682183916,4.0211,48.308,5554.98,false,181.6,320.4,-12.35,null,5585.46,"1000",false,0
"ac7044","N900ME  ","United States",1682183914,1682183914,-78.6847,37.8183,4975.86,false,68.29,210.82,8.78,null,4953,null,false,0
"a83d5e","N63WG   ","United States",1682183916,1682183916,-80.2253,27.3117,640.08,false,126.58,212.72,-6.83,null,632.46,null,false,0
"682231","MGL308  ","Mongolia",1682183857,1682183859,125.1409,37.3954,8503.92,false,187.3,268.74,8.45,null,8785.86,null,false,0
"a97797","SKW3291 ","United States",1682183916,1682183916,-105.0466,36.7964,10972.8,false,200.24,335.08,0,null,11109.96,null,false,0
"a04f75","AAL2184 ","United States",1682183916,1682183916,-87.4168,36.1431,10980.42,false,184.17,270.32,-0.33,null,10942.32,null,false,0
"151e15","PBD324  ","Russian Federation",1682183916,1682183916,52.3558,45.7273,10972.8,false,200.68,222.19,0,null,10911.84,null,false,0
"ad4cf2","SWA2733 ","United States",1682183767,1682183767,-117.909,39.6319,12496.8,false,249.52,69.73,0,null,12633.96,"3612",false,0
"a4aa94","N40DA   ","United States",1682183916,1682183916,-121.7605,37.3015,914.4,false,64.14,149.12,4.23,null,906.78,null,false,0
"44014a","EJU97MQ ","Austria",1682183916,1682183916,-0.6657,47.4898,11574.78,false,236.89,352.01,0,null,11529.06,"5550",false,0
"a0b91a","N146BG  ","United States",1682183916,1682183916,-77.1606,37.9608,13708.38,false,264.68,31,-2.93,null,13799.82,"1165",false,0
"aae0db","MVP839  ","United States",1682183916,1682183916,-81.3246,29.3195,11521.44,false,181.83,357.08,1.3,null,11833.86,null,false,0
"ae73e1","VV8E700 ","United States",1682183901,1682183901,-86.3608,30.9046,259.08,false,54.48,100.89,0.33,null,243.84,null,false,0
"c03493","TSC600  ","Canada",1682183916,1682183916,-75.3744,39.077,10370.82,false,199.71,205.97,0.33,null,10515.6,"2157",false,0
"acdf9a","AAL1390 ","United States",1682183915,1682183916,-90.016,29.7875,10668,false,261.44,128.45,0,null,10949.94,null,false,0
"abc69c","RPA3632 ","United States",1682183915,1682183916,-86.3886,38.4773,10058.4,false,228.27,152.34,-0.33,null,9906,"3141",false,0
"a9c737","RPA3405 ","United States",1682183915,1682183916,-87.5084,37.5292,10363.2,false,198.08,235.15,0,null,10233.66,"2762",false,0
"440159","EJU14ZL ","Austria",1682183913,1682183913,-6.6248,40.9916,11277.6,false,200.79,237.45,0.33,null,11430,"5706",false,0
"a891e5","QXE2240 ","United States",1682183916,1682183916,-121.6268,45.3936,7612.38,false,224.79,168.38,-10.73,null,7711.44,null,false,0
"a5ca89","SWA2606 ","United States",1682183723,1682183723,-122.2139,37.7102,null,true,6.94,19.69,null,null,null,"5733",false,0
"a58191","N454GC  ","United States",1682183916,1682183916,-76.4342,39.4795,4914.9,false,128.98,189.88,0,null,4930.14,"3370",false,0
"75860e","CEB363  ","Philippines",1682183916,1682183916,120.2197,15.7919,7414.26,false,228.61,151.36,-21.13,null,7947.66,null,false,0
"49529a","TAP37C  ","Portugal",1682183916,1682183916,-3.8466,48.4427,11277.6,false,211.75,211.49,0.33,null,11163.3,"0573",false,0
"471da9","WZZ42C  ","Hungary",1682183916,1682183916,-6.5486,39.4802,10066.02,false,209.59,243.62,0.33,null,10271.76,"4002",false,0
"a05629","UAL121  ","United States",1682183916,1682183916,-73.1815,41.783,3931.92,false,174.99,245.7,-5.2,null,3992.88,null,false,0
"a05628","UAL2318 ","United States",1682183753,1682183753,-118.369,33.941,114.3,false,81.36,263.1,-4.23,null,99.06,"2640",false,0
"471da8","WZZ416  ","Hungary",1682183916,1682183916,8.9161,50.1529,10965.18,false,211.34,290.82,0.33,null,11010.9,"3561",false,0
"a83d95","N63YM   ","United States",1682183916,1682183916,-74.1572,40.8163,510.54,false,123.48,251.79,5.53,null,495.3,"1544",false,0
"acc02b","SWA430  ","United States",1682183916,1682183916,-71.1676,42.0262,1775.46,false,135.06,19.82,-3.9,null,1821.18,"3627",false,0
"a5818b","LXJ454  ","United States",1682183916,1682183916,-118.8209,35.2507,13106.4,false,210.71,289.54,0.33,null,13365.48,null,false,0
"758616","CEB310  ","Philippines",1682183875,1682183891,120.6891,17.3149,10058.4,false,242.4,349.98,0,null,10759.44,"7306",true,0
"452134","BTI4BV  ","Bulgaria",1682183916,1682183916,6.2898,60.2621,7170.42,false,187.82,111.36,6.5,null,7109.46,null,false,0
"c03487","SWG595  ","Canada",1682183916,1682183916,-96.7161,31.9983,11277.6,false,257.56,134.35,0.33,null,11529.06,null,false,0
"c03488","SWG575  ","Canada",1682183915,1682183915,-118.4152,43.2193,10668,false,259.86,147.29,0,null,10759.44,"7063",false,0
"c01a5a","JZA785  ","Canada",1682183916,1682183916,-79.6644,43.6329,502.92,false,69.86,46.19,-3.9,null,373.38,"7055",false,0
"aba058","N8483F  ","United States",1682183904,1682183909,-117.7911,34.0918,365.76,false,40.65,271.45,4.23,null,350.52,null,false,0
"a04f49","SKW5370 ","United States",1682183916,1682183916,-88.8758,41.4459,4404.36,false,201.6,62,-9.1,null,4198.62,null,false,0
"39ca81","SAMU49  ","France",1682183915,1682183915,-0.3955,47.4097,426.72,false,63.81,125.48,-0.98,null,434.34,null,false,0
"a88ae5","N65FG   ","United States",1682183916,1682183916,-85.5473,30.8305,3086.1,false,152.8,197.03,-8.13,null,3139.44,"7134",false,0
